disease,disease_info,medicine
fever,"Fever is usually caused by infections like viral flu or malaria.","Paracetamol (Dolo-650, Crocin), hydration, and rest."
cough,"Cough may be due to cold, flu, asthma, or lung infections.","Cough syrup (Benadryl, Ascoril), steam inhalation."
cold,"Common cold is a viral infection affecting the nose and throat.","Rest, steam inhalation, antihistamines (Cetzine)."
headache,"Headache may be caused by stress, migraine, or dehydration.","Paracetamol, Ibuprofen, hydration, relaxation."
vomiting,"Vomiting may be caused by food poisoning, stomach infection, or migraine.","ORS solution, antiemetics (Ondansetron), hydration."
flu,"Flu (influenza) is a viral infection causing fever, cough, body pain.","Rest, hydration, paracetamol, antiviral (Oseltamivir) if severe."
heartattack,"Heart attack is caused by blocked blood flow to the heart.","Aspirin, Nitroglycerin, emergency hospital care."
migraine,"Migraine is a severe headache often with nausea and sensitivity to light.","Sumatriptan, Naproxen, avoid triggers."
diabetes,"Diabetes is a condition where blood sugar levels are too high.","Metformin, Insulin, diet control."
hypertension,"High blood pressure increases the risk of heart disease.","Amlodipine, Losartan, low-salt diet."
asthma,"Asthma causes difficulty in breathing due to airway narrowing.","Inhalers (Salbutamol), corticosteroids."
malaria,"Malaria is a mosquito-borne disease causing fever and chills.","Artemisinin-based therapy, Chloroquine."
typhoid,"Typhoid is a bacterial infection causing high fever and weakness.","Antibiotics (Ciprofloxacin, Azithromycin)."
dengue,"Dengue is a mosquito-borne viral fever with low platelets.","Paracetamol, hydration, avoid NSAIDs like Aspirin."
chickenpox,"Chickenpox causes itchy blisters and fever.","Calamine lotion, antihistamines, rest."
tuberculosis,"TB is a bacterial infection that mainly affects lungs.","Anti-TB drugs (Rifampicin, Isoniazid)."
pneumonia,"Pneumonia is a lung infection with fever, cough, chest pain.","Antibiotics (Amoxicillin, Azithromycin)."
jaundice,"Jaundice is caused by liver problems leading to yellow eyes/skin.","Rest, hydration, avoid alcohol, treat underlying cause."
hepatitis,"Hepatitis is liver inflammation caused by viruses A, B, or C.","Antivirals (Tenofovir for Hep-B), rest."
anemia,"Anemia occurs when body lacks healthy red blood cells.","Iron supplements, folic acid, vitamin B12."
arthritis,"Arthritis causes joint pain and stiffness.","Pain relievers (Ibuprofen), physiotherapy."
covid,"COVID-19 is a viral infection causing fever, cough, breathing issues.","Rest, hydration, paracetamol, antivirals if severe."
hiv,"HIV weakens the immune system, increasing infection risk.","Antiretroviral Therapy (ART) is lifelong treatment."
aids,"AIDS is the advanced stage of HIV infection.","ART drugs (Tenofovir, Efavirenz, Lamivudine)."
syphilis,"Syphilis is a bacterial STD causing sores and rash.","Penicillin injection."
gonorrhea,"Gonorrhea affects genitals, rectum, and throat.","Ceftriaxone injection + Azithromycin."
chlamydia,"Chlamydia is a bacterial infection causing genital pain.","Azithromycin or Doxycycline."
herpes,"Herpes causes painful blisters around genitals/mouth.","Acyclovir, Valacyclovir."
hpv,"HPV is a viral infection that can cause genital warts and cancer.","No cure, HPV vaccine prevents it."
trichomoniasis,"Trichomoniasis is caused by a parasite, leading to discharge and itching.","Metronidazole."
ulcer,"Stomach ulcer is caused by excess acid or H. pylori infection.","Omeprazole, Antacids, Antibiotics (if H. pylori)."
stroke,"Stroke occurs when blood supply to brain is blocked.","Clot-busting drugs (tPA), rehabilitation."
kidney,"Kidney disease affects the bodyâ€™s ability to filter waste.","Dialysis in severe cases, ACE inhibitors."
epilepsy,"Epilepsy is a neurological disorder causing seizures.","Anticonvulsants (Valproate, Phenytoin)."
anxiety,"Anxiety causes excessive fear and nervousness.","SSRIs (Sertraline), therapy, relaxation techniques."
depression,"Depression is a mood disorder with sadness and low energy.","SSRIs (Fluoxetine), therapy, support."
insomnia,"Insomnia is difficulty falling or staying asleep.","Zolpidem, lifestyle changes."
allergy,"Allergies are immune reactions to pollen, food, or dust.","Antihistamines (Cetirizine, Loratadine)."
eczema,"Eczema causes itchy, inflamed skin patches.","Moisturizers, steroid creams."
psoriasis,"Psoriasis causes scaly skin patches due to immune reaction.","Steroid creams, biologics (Adalimumab)."
conjunctivitis,"Conjunctivitis is an eye infection causing redness and discharge.","Antibiotic eye drops."
earinfection,"Ear infection causes ear pain, swelling, and fever.","Antibiotics (Amoxicillin), ear drops."
toothache,"Toothache may be due to cavity, infection, or gum disease.","Painkillers, dental cleaning or antibiotics."
gastritis,"Gastritis is inflammation of stomach lining.","Omeprazole, antacids, avoid spicy food."
obesity,"Obesity increases risk of diabetes and heart disease.","Lifestyle changes, Orlistat in severe cases."
hypothyroidism,"Hypothyroidism means underactive thyroid gland.","Levothyroxine (Thyroxine tablets)."
hyperthyroidism,"Overactive thyroid causes weight loss, anxiety, sweating.","Methimazole, Beta-blockers."
